"","mean_PM25","RR","Lower_CI","Upper_CI"
"327",63,1.02615769043424,1.01510836146376,1.03732728998403
"328",57,1.01685161875623,1.00975199929978,1.02400115601077
"329",48,1.00305051313035,1.0017704036658,1.00433225837914
"330",47,1.00152866633935,1.0008874633439,1.00217028011153
"331",48,1.00305051313035,1.0017704036658,1.00433225837914
"332",49,1.00457467240399,1.00265412288007,1.00649890067454
"333",57,1.01685161875623,1.00975199929978,1.02400115601077
"334",55,1.01376838733237,1.00797283342591,1.01959726400704
"335",46,1.00000912852245,1.00000530122788,1.00001295583167
"336",50,1.00610114767414,1.00353862167382,1.0086702170594
"337",48,1.00305051313035,1.0017704036658,1.00433225837914
"338",69,1.03554892986778,1.02049313715468,1.05082684743991
"339",49,1.00457467240399,1.00265412288007,1.00649890067454
"340",89,1.06747822298178,1.03864953947271,1.09710707340113
"341",115,1.11046261911084,1.06273665630267,1.16033188573041
"342",83,1.05779742153149,1.03316895896912,1.08301297216199
"343",85,1.06101456095988,1.03499259834985,1.0876907722468
"344",47,1.00152866633935,1.0008874633439,1.00217028011153
"345",48,1.00305051313035,1.0017704036658,1.00433225837914
"346",49,1.00457467240399,1.00265412288007,1.00649890067454
"347",75,1.04502611649923,1.02590647709582,1.06450208527483
"348",54,1.01223027918439,1.00708442640694,1.0174024254881
"349",69,1.03554892986778,1.02049313715468,1.05082684743991
"350",46,1.00000912852245,1.00000530122788,1.00001295583167
"351",52,1.00916106028618,1.00530996075121,1.01302691245289
"352",67,1.03240900567175,1.01869504557833,1.04630758696487
"353",60,1.02149405706407,1.01242663807999,1.03064268498116
"354",52,1.00916106028618,1.00530996075121,1.01302691245289
"355",56,1.01530883267251,1.00886202415973,1.02179683744305
"356",65,1.02927860214989,1.0169001222088,1.04180776234198
"357",62,1.02460078500645,1.01421366533364,1.03509428488175
"358",56,1.01530883267251,1.00886202415973,1.02179683744305
"359",63,1.02615769043424,1.01510836146376,1.03732728998403
"360",53,1.01069450468255,1.00619680241209,1.01521231169362
"361",57,1.01685161875623,1.00975199929978,1.02400115601077
"362",53,1.01069450468255,1.00619680241209,1.01521231169362
"363",50,1.00610114767414,1.00353862167382,1.0086702170594
"364",48,1.00305051313035,1.0017704036658,1.00433225837914
"365",58,1.01839674914035,1.01064275953801,1.02621022994685
